true_positives,false_positives,false_negatives,precision,recall,f1,strategy,threshold
274,616,0,0.3079,1.0,0.4708,fuzzy,70.0
270,158,4,0.6308,0.9854,0.7692,fuzzy,75.0
253,29,21,0.8972,0.9234,0.9101,fuzzy,80.0
243,7,31,0.972,0.8869,0.9275,fuzzy,85.0
238,4,36,0.9835,0.8686,0.9225,fuzzy,90.0
208,0,66,1.0,0.7591,0.8631,fuzzy,95.0
268,47311,6,0.0056,0.9781,0.0112,embedding,0.65
264,1352,10,0.1634,0.9635,0.2794,embedding,0.7
259,150,15,0.6333,0.9453,0.7584,embedding,0.75
240,29,34,0.8922,0.8759,0.884,embedding,0.8
196,7,78,0.9655,0.7153,0.8218,embedding,0.85
145,4,129,0.9732,0.5292,0.6856,embedding,0.9
